window,V,accuracy,exec_time
0.75,7,0.97668,0.28184
0.75,8,0.97085,0.3149
0.75,9,0.97959,0.34532
0.75,10,0.98251,0.37531
0.75,11,0.97668,0.39225
0.75,12,0.97376,0.42775
0.75,13,0.97376,0.4241
0.75,14,0.97376,0.42255
0.75,15,0.97376,0.41712
