window,V,accuracy,exec_time
0.75,7,0.94947,2.82467
0.75,8,0.94947,3.07064
0.75,9,0.94655,4.97328
0.75,10,0.94461,3.61466
0.75,11,0.94849,4.07585
0.75,12,0.94655,4.32913
0.75,13,0.94655,4.2076
0.75,14,0.94655,4.87277
0.75,15,0.94655,4.12096
